Resep Makanan
Nama Produk;Resep;Qty Produksi;Volume
Nasi Ayam Teriyaki;Paha Fillet Bumbu;80;Gram
;Tepung Tapioka;20;Gram
;Saus Teriyaki;35;Gram
;Bawang Bombay;10;Gram
;Biji Wijen;2;Gram
;Nasi Putih Besar;180;Gram
;Telur Ayam;1;Pcs
;;;
Nasi Sapi Lada Hitam;Saus Blackpepper;35;Gram
;Beef Slice;100;Gram
;Bawang Bombay;10;Gram
;Nasi Putih Besar;180;Gram
;Telur Ayam;1;Pcs
;;;
Spaghetti Aglio E Olio;Bawang Putih;5;Gram
;Bawang Bombay;8;Gram
;Cabai Rawit Merah;4;Gram
;Oregano;1;Gram
;Parsley;0,5;Gram
;Paha Fillet Bumbu;80;Gram
;Smoked Beef;1;Pcs
;Garam;1;Gram
;Chicken Powder;1;Gram
;Gula Pasir;1;Gram
;Paprika Powder;1;Gram
;Spaghetti Rebus;140;Gram
;Parmesan Cheese;10;Gram
;Jamur kancing;20;Gram
;Lada Putih;1;Gram
;Garlic Bread;2;Pcs
;;;
Spaghetti Carbonara;Bawang Putih;5;Gram
;Bawang Bombay;5;Gram
;Fresh Milk;150;Gram
;Oregano;0,5;Gram
;Parsley;0,5;Gram
;Smoked Beef;1;Pcs
;Garam;1;Gram
;Chicken Powder;1;Gram
;Gula Pasir;1;Gram
;Spaghetti Rebus;140;Gram
;Parmesan Cheese;10;Gram
;Jamur kancing;20;Gram
;Cheddar Cheese;1;Pcs
;Lada Putih;1;Gram
;;;
Spaghetti Sajati;Bumbu Nasi Goreng;40;Gram
;Fresh Milk;5;Gram
;Oregano;150;Gram
;Baso Sapi;0,5;Gram
;Sosis Sapi;0,5;Gram
;Garam;1;Gram
;Chicken Powder;1;Gram
;Gula Pasir;1;Gram
;Spaghetti Rebus;140;Gram
;Jamur kancing;20;Gram
;Lada Putih;10;Gram
;Parsley;20;Gram
;Vetsin;1;Gram
;;;
Sayap Ayam Bawang Kailan;Sayap Ayam Bawang;6;Pcs
;Bihun Crispy;10;Gram
;Kailan Crispy;20;Gram
;;;
Tahu Lada Garam;Tahu Kuning;2;Pcs
;Tepung Maizena;50;Gram
;Tepung Tapioka;12,5;Gram
;Bawang Daun;5;Gram
;Bawang Putih;5;Gram
;Cabai Rawit Merah;5;Gram
;Kecap Asin;15;Ml
;Tepung Roti;30;Gram
;Vetsin;1,25;Gram
;Chicken Powder;1,25;Gram
;Bihun Crispy;10;Gram
;;;
Lava Toast;Macchiato;30;Gram
;Roti Tawar Tebal;2;Pcs
;Selai Coklat;20;Gram
;Fresh Milk;15;Ml
;Telur Ayam;1;Pcs
;Coklat Bubuk;10;Gram
;;;
Kentang Rumahan;Kentang Rumahan;150;Gram
;Cajun Powder;2,5;Gram
;Chicken Powder;2,5;Gram
;Oregano;1;Gram
;Parsley;0,5;Gram
;Bihun Crispy;10;Gram
;;;
Kentang Sosis;Kentang Rumahan;150;Gram
;Sosis Sapi;3;Pcs
;Cajun Powder;2,5;Gram
;Chicken Powder;2,5;Gram
;Oregano;1;Gram
;Parsley;0,5;Gram
;Bihun Crispy;10;Gram
;;;
Caremel Chessy Toast;Roti Tawar Tebal;2;Pcs
;Brown Sugar;20;Gram
;Slice Cheese;2;Pcs
;Margarin;15;Gram
;Ice Cream Vanilla;50;Gram
;Cherry;1;Pcs
;;;
Pisang Keju;Pisang;2;Pcs
;Meses Coklat;20;Gram
;Cheddar Cheese;1;Pcs
;Susu Kental Manis;20;Gram
;Margarin;15;Gram
;Cherry;3;Pcs
;;;
Chiken Popmayo;Paha Fillet Bumbu;80;Gram
;Tepung Tapioka;30;Gram
;Saus Pop Mayo;35;Gram
;Bihun Crispy;10;Gram
;;;
Butter croissant;Croissant;1;Porsi
;;;
Brownie Lava;Brownies;1;Porsi
;Macchiato;1;Porsi
;;;
Tahu Goreng Ayam Bumbu Rujak;Tagoya;1;Porsi
;;;
Wingko;Wingko Babat;1;Porsi
;;;
Extra Telur;Telur Ayam;1;Pcs
;;;
Extra Nasi;Nasi Putih Besar;180;Gram
